User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,aleth_to_redeem
0xe761bf731A06fE8259FeE05897B2687D56933110,4989712018134311294233,4989712018134311294233,True,alchemix,[],0,0,2414589288409118801920,2584272456563706822656
0x274d9E726844AB52E351e8F1272e7fc3f58B7E5F,2997865249482777306619,2997865249482777306619,False,,[],0,0,1450707634666582310912,1552654855545070026752
0xC4e24fF2DEe71Ff59A3BBb84989a1d2d2426b201,1337285447440172929726,1337285447440172929726,False,,[],0,0,647130556873657286656,692607095524382867456
0x213657bCcC5CF8b74455d110C11D5A8eD6241DEC,1000000000000000000000,1000000000000000000000,False,,[],0,0,483913556460509069312,517920161959564345344
0xC53127AF77cBa7D07DC08e271bD0826c55f97467,853542512962258927269,0,True,multisig,"[AttributeDict({'args': AttributeDict({'provider': '0xC53127AF77cBa7D07DC08e271bD0826c55f97467', 'token_amount': 853542512962258927269, 'coin_amount': 854385196612432449756, 'token_supply': 15910047846279412434493}), 'event': 'RemoveLiquidityOne', 'logIndex': 144, 'transactionIndex': 26, 'transactionHash': HexBytes('0x5dbd9c4291833047250e2812f81cb02d66872867ef7877332782753d481431f4'), 'address': '0xC4C319E2D4d66CcA4464C0c2B32c9Bd23ebe784e', 'blockHash': HexBytes('0x5107f15f763e096a6c9d243ecd55cac091088f3f14a15579f5fceabc9b6d4efe'), 'blockNumber': 17806760})]",854385196612432449756,0,-441344403574625533952,442066876552786673664
0xb234615391112ED2d7D59ed10F9b755D756a1306,712412026273023846514,712412026273023846514,False,,[],0,0,344745837299016597504,368972552029265920000
0x605B5F6549538a94Bd2653d1EE67612a47039da0,462381709267511667612,462381709267511667612,False,,[],0,0,223752777373930717184,239476809750969843712
0x0480B924a6F1018863e318Af33c15F01619B7F2f,431268223273376383297,431268223273376383297,False,,[],0,0,208696539712624492544,223362508045760692224
0x3bCF3Db69897125Aa61496Fc8a8B55A5e3f245d5,431158651039543917774,431158651039543917774,True,multisig,[],0,0,208643516223261278208,223305758376667873280
0xdB68C0F5F08Bbe0f4dd18c9cf409B2E46316d69E,309772366741523737910,309772366741523737910,False,,[],0,0,149903047683079864320,160437354353367547904
0xB2E583B8315dD01A02996E76f879C7E98D60B368,282228325150032820224,282228325150032820224,False,,[],0,0,136574112557245333504,146171739871281594368
0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,273680036048123024840,273680036048123024840,False,,[],0,0,132437479576287559680,141744408595143294976
